document_text,user_message,assistant_response,visa_type,document_type,category,language,verified,source,date_updated
,What documents do I need to apply for a green card through marriage to a US citizen?,"To apply for a green card through marriage to a US citizen, you need: Form I-485 (Application to Register Permanent Residence), Form I-864 (Affidavit of Support), Form I-131 (if you need advance parole), Form I-765 (work permit), your birth certificate, marriage certificate, passport photos, medical examination results (Form I-693), police clearance certificates from every country you lived in for 6+ months, and evidence of bona fide marriage (joint bank accounts, lease agreements, photos together, correspondence).",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,How long does it take to get an H-1B visa approved?,"Standard H-1B processing takes 3 to 6 months after USCIS receives your petition. Premium processing (Form I-907, $2,805 fee) guarantees a decision within 15 business days. Note that the H-1B cap lottery happens each April for October 1 start dates. Cap-exempt employers (universities, nonprofits) can file any time with faster processing.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is the difference between a visa and a green card?,"A visa is a temporary travel document that allows you to enter the US for a specific purpose and duration. A green card (Permanent Resident Card) gives you the right to live and work permanently in the United States. With a green card you can stay indefinitely, sponsor certain relatives, and apply for US citizenship after 3–5 years. A visa expires and you must leave or change status when it does.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,Can I work in the US on an F-1 student visa?,"Yes, but with restrictions. On F-1 you can work on-campus up to 20 hours per week during classes and full-time during breaks. After your first year, you can apply for Curricular Practical Training (CPT) for internships related to your major. After graduation, you qualify for Optional Practical Training (OPT) for 12 months, extendable to 36 months if you studied a STEM field. You cannot work off-campus without authorization.",F1,None,Work,English,yes,uscis.gov,2026-06-20
,What happens if I overstay my visa?,"Overstaying a visa is a serious violation. If you overstay by 180 days or more you are barred from re-entering the US for 3 years. If you overstay by 1 year or more the bar is 10 years. Overstaying can also result in removal proceedings, visa cancellation, and difficulty getting future visas or a green card. If you realize you have overstayed, consult an immigration attorney immediately about your options.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is DACA and who qualifies?,"DACA (Deferred Action for Childhood Arrivals) is a policy that protects certain undocumented immigrants who came to the US as children from deportation and grants them work authorization for 2 years (renewable). To qualify you must have come to the US before age 16, continuously lived in the US since June 15, 2007, been under 31 as of June 15, 2012, have no felony convictions or significant misdemeanors, and be enrolled in school, graduated, or served in the military. DACA does not provide a path to citizenship.",DACA,None,General,English,yes,uscis.gov,2026-06-20
,How do I sponsor my parents for a green card?,"As a US citizen (not green card holder), you can sponsor both parents. File Form I-130 (Petition for Alien Relative) for each parent. Parents of US citizens are immediate relatives, meaning no visa number wait. After I-130 approval, your parents apply for an immigrant visa at a US consulate (Form DS-260) or adjust status inside the US (Form I-485) if they are already here lawfully. Total processing time is typically 12–24 months depending on the consulate.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the difference between asylum and refugee status?,"Both provide protection to people fleeing persecution, but the process differs. Refugees apply for protection from outside the US through the US Refugee Admissions Program. Asylum seekers are already in the US or at a port of entry and apply for asylum after arrival. Both require proving a well-founded fear of persecution based on race, religion, nationality, political opinion, or membership in a particular social group. Refugees are resettled; asylum seekers must navigate the US immigration court system.",Asylum,None,General,English,yes,uscis.gov,2026-06-20
,How long can I stay in the US on a B-1/B-2 tourist visa?,"A B-1/B-2 visa allows stays typically up to 6 months per visit, as determined by the CBP officer at the port of entry — check your I-94 record at i94.cbp.dhs.gov for your exact authorized period. You may request an extension (Form I-539) before your authorized stay expires, but extensions are not guaranteed. You cannot work, attend school, or receive medical treatment as the primary purpose of a B-2 visit.",B1/B2,None,Travel,English,yes,uscis.gov,2026-06-20
,What is the Visa Bulletin and why does it matter?,"The Visa Bulletin is a monthly publication by the US Department of State showing which priority dates are current for family and employment-based immigrant visas. Because Congress limits how many green cards are issued each year per country, applicants from high-demand countries (like India, China, Mexico, Philippines) may wait years or decades in line. Your priority date is set when your I-140 or I-130 is filed. When the Visa Bulletin shows your date is current, you can proceed with your green card application.",Any,None,General,English,yes,uscis.gov,2026-06-20
,Can I travel outside the US while my green card application is pending?,"Traveling while your I-485 is pending can be risky. If you leave without Advance Parole (Form I-131), your application may be considered abandoned. Apply for Advance Parole simultaneously with your I-485. Once you have the Advance Parole document in hand, you can travel. Do not travel until you have the actual document, not just the receipt. Also note that certain criminal history or prior immigration violations may make re-entry difficult.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is an I-94 and how do I check it?,"Form I-94 is your Arrival/Departure Record — the official document showing the date you entered the US, your visa class, and how long you are authorized to stay. Since 2013 it is electronic. You can check your most recent I-94 at i94.cbp.dhs.gov using your passport details. Always verify your I-94 after entry because errors do happen. If your I-94 shows the wrong date or status, visit a CBP deferred inspection site to correct it.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,How do I change my visa status from B-2 tourist to F-1 student?,"To change status from B-2 to F-1, you need to be admitted to a SEVP-certified school, get your I-20 form from the school, file Form I-539 (Application to Extend/Change Nonimmigrant Status) with USCIS before your current B-2 status expires, and pay the SEVIS fee. Processing takes 3–6 months. You cannot start studying until the status change is approved. It is often easier to return to your home country and apply for an F-1 visa at a US consulate instead.",F1,None,Work,English,yes,uscis.gov,2026-06-20
,What are the requirements to become a US citizen through naturalization?,"To naturalize as a US citizen you must: be a lawful permanent resident (green card holder) for 5 years (3 years if married to a US citizen), be at least 18 years old, have continuous residence in the US, have been physically present in the US for at least 30 months of the last 5 years, be able to read, write, and speak basic English, have good moral character, know US history and government (civics test), and take the Oath of Allegiance. File Form N-400.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is premium processing for immigration petitions?,"Premium processing is an optional USCIS service for certain petition types (H-1B, L-1, O-1, EB-1, EB-2, EB-3 I-140s, and others) that guarantees USCIS will take action on your case within 15 business days. The fee is $2,805 (as of 2024). If USCIS does not act within 15 days, they refund the fee. Action means approval, denial, RFE, or NOID — not necessarily final approval. It is especially useful when you have tight deadlines.",Any,None,Green Card,English,yes,uscis.gov,2026-06-20
,Can my employer fire me while my H-1B is pending transfer?,"Under AC21 portability rules, if your I-485 adjustment of status has been pending for 180+ days, you can change employers without affecting your green card case as long as the new job is in the same or similar occupational classification. For H-1B transfers specifically, once the new employer files the H-1B transfer petition, you can begin working for the new employer immediately — you do not need to wait for approval. Keep your old employer's support until the transfer is filed.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is an RFE and what should I do if I receive one?,"An RFE (Request for Evidence) is a notice from USCIS asking for additional documentation or clarification to decide your case. It is not a denial. You must respond by the deadline stated in the RFE (typically 87 days). Read it carefully, gather all requested documents, and consider hiring an immigration attorney to help with the response. A thorough, well-organized response significantly improves your chances of approval. Failing to respond results in automatic denial.",Any,None,General,English,yes,uscis.gov,2026-06-20
,How do I renew my green card?,"Green cards are typically valid for 10 years (2 years for conditional residents). To renew, file Form I-90 (Application to Replace Permanent Resident Card) online or by mail, pay the $540 fee ($455 filing + $85 biometrics), and attend your biometrics appointment. Processing takes 8–24 months. You will receive an I-797 receipt notice that serves as temporary proof of your green card status. Start the renewal 6 months before expiration. Conditional (2-year) green card holders must file I-751 to remove conditions.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is a K-1 fiancé visa and how does it work?,"A K-1 fiancé visa allows a foreign national engaged to a US citizen to enter the US to get married. The US citizen files Form I-129F (Petition for Alien Fiancé). After approval, the foreign fiancé applies for the K-1 visa at a US consulate. Once in the US, you must marry within 90 days. After marriage, the foreign spouse applies for adjustment of status (Form I-485) to get a green card. The entire process typically takes 8–12 months.",Any,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is TPS (Temporary Protected Status)?,"TPS is a temporary immigration status granted to nationals of designated countries experiencing ongoing armed conflict, environmental disasters, or other extraordinary conditions. TPS holders can legally live and work in the US during the designation period, cannot be deported, and may get travel authorization. TPS does not lead directly to permanent residency or citizenship. Countries with current TPS include El Salvador, Haiti, Honduras, Nepal, Nicaragua, Somalia, Sudan, South Sudan, Syria, Ukraine, Venezuela, Yemen, and others.",DACA,None,General,English,yes,uscis.gov,2026-06-20
,What is the difference between an immigrant visa and a nonimmigrant visa?,"An immigrant visa (also called a permanent visa) is for people intending to live in the US permanently. It leads to a green card. A nonimmigrant visa is for temporary stays — tourism (B-2), work (H-1B, L-1), study (F-1), exchange (J-1), etc. When applying for a nonimmigrant visa, consular officers look for ties to your home country to confirm you intend to return. Immigrant intent while holding a nonimmigrant visa can lead to visa denial or admission refusal.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,How long does it take to get a US passport after naturalization?,"After your naturalization ceremony, you receive your Certificate of Naturalization. You can immediately apply for a US passport. Standard passport processing takes 6–8 weeks; expedited processing takes 2–3 weeks for an extra $60 fee. For urgent travel (within 3 business days) you can make an appointment at a regional passport agency. Bring your Certificate of Naturalization (original), DS-11 application form, passport photo, and payment.",Any,None,General,English,yes,uscis.gov,2026-06-20
,Can I apply for a green card if I entered the US illegally?,"Entering the US illegally (without inspection) generally bars you from adjusting status inside the US, even if you marry a US citizen. You would typically need to leave the US and apply for an immigrant visa at a consulate — but leaving may trigger a 3 or 10-year bar. If you were inspected and admitted (on any visa, even if it expired), you may be eligible to adjust status. Consult an immigration attorney because INA 245(i) and specific family relationships can create exceptions.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is an Employment Authorization Document (EAD)?,"An EAD (Employment Authorization Document), also called a work permit, is a card issued by USCIS that proves you are authorized to work in the US. It is required for people who are not US citizens or permanent residents but have work authorization — such as asylum seekers, DACA recipients, spouses of certain visa holders (H-4, L-2), adjustment of status applicants, and TPS holders. Apply using Form I-765. Processing takes 3–5 months; you can request expedite for urgent situations.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
